City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,Constitucion,-35.3333,-72.4167,55.36,91,45,1.19,CL,2023-01-19 06:33:02
270,Ballina,-28.8667,153.5667,84.78,69,0,11.9,AU,2023-01-19 06:33:06
271,Half Moon Bay,37.4636,-122.4286,54.0,89,100,9.22,US,2023-01-19 06:30:40
272,Kemijarvi,66.7131,27.4306,27.93,91,100,4.21,FI,2023-01-19 06:33:09
273,Anisoc,1.8658,10.7689,72.21,93,96,2.44,GQ,2023-01-19 06:34:11
274,Havoysund,70.9963,24.6622,34.03,75,100,29.17,NO,2023-01-19 06:34:12
275,Petatlan,17.5167,-101.2667,67.37,84,97,3.62,MX,2023-01-19 06:34:13
276,Harindanga,22.0383,88.3214,78.15,29,0,8.14,IN,2023-01-19 06:34:14
277,Bereda,43.2686,-7.5406,41.41,100,100,7.36,ES,2023-01-19 06:34:16
278,Gat,31.61,34.7642,62.4,18,0,2.28,IL,2023-01-19 06:34:17
279,Brae,60.3964,-1.353,38.8,73,71,12.01,GB,2023-01-19 06:34:19
280,Takoradi,4.8845,-1.7554,79.11,84,99,1.48,GH,2023-01-19 06:34:21
281,Yulara,-25.2406,130.9889,94.32,24,6,10.74,AU,2023-01-19 06:34:22
282,Fortuna,40.5982,-124.1573,40.35,97,75,6.91,US,2023-01-19 06:34:24
283,Aksu,41.1231,80.2644,14.94,61,0,3.0,CN,2023-01-19 06:34:26
284,Solnechnyy,50.7214,136.6319,-12.26,96,100,5.03,RU,2023-01-19 06:34:27
285,Cabo San Lucas,22.8909,-109.9124,61.61,68,100,3.27,MX,2023-01-19 06:33:24
286,Yangliuqing,39.1375,116.9997,39.15,18,5,21.65,CN,2023-01-19 06:34:30
287,Pustoshka,56.3355,29.369,34.32,87,100,16.87,RU,2023-01-19 06:33:11
288,Lavrentiya,65.5833,-171.0,-20.36,90,100,7.52,RU,2023-01-19 06:34:32
289,Pevek,69.7008,170.3133,-24.72,98,100,12.82,RU,2023-01-19 06:34:33
290,Faanui,-16.4833,-151.75,81.61,70,6,17.54,PF,2023-01-19 06:34:35
291,Warren,39.4334,-84.1666,47.17,88,100,12.66,US,2023-01-19 06:34:36
